Domain,Area,Element,Item,Year,Unit,Value
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Cake of  soya beans","2010","t","-70000"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Cake of  soya beans","2011","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Cake of  soya beans","2012","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Cake of  soya beans","2013","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Cake of  soya beans","2014","t","0"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Cake of  soya beans","2015","t","0"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Cake of  soya beans","2016","t","0"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Cake of  soya beans","2017","t","0"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Cake of  soya beans","2018","t","0"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Cake of  soya beans","2019","t","-9000"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Cake of  soya beans","2020","t","-200"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Cake of  soya beans","2021","t","15000"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Cake of  soya beans","2010","t","27587339"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Cake of  soya beans","2011","t","27139086"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Cake of  soya beans","2012","t","25698085"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Cake of  soya beans","2013","t","24330437"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Cake of  soya beans","2014","t","25236104"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Cake of  soya beans","2015","t","26706266"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Cake of  soya beans","2016","t","26799736"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Cake of  soya beans","2017","t","26901100"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Cake of  soya beans","2018","t","27004663"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Cake of  soya beans","2019","t","27794464"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Cake of  soya beans","2020","t","26820722"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Cake of  soya beans","2021","t","27208591"
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Cake of  soya beans","2010","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Cake of  soya beans","2011","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Cake of  soya beans","2012","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Cake of  soya beans","2013","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Cake of  soya beans","2014","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Cake of  soya beans","2015","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Cake of  soya beans","2016","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Cake of  soya beans","2017","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Cake of  soya beans","2018","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Cake of  soya beans","2019","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Cake of  soya beans","2020","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Cake of  soya beans","2021","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Cake of  soya beans","2010","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Cake of  soya beans","2011","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Cake of  soya beans","2012","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Cake of  soya beans","2013","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Cake of  soya beans","2014","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Cake of  soya beans","2015","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Cake of  soya beans","2016","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Cake of  soya beans","2017","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Cake of  soya beans","2018","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Cake of  soya beans","2019","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Cake of  soya beans","2020","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Cake of  soya beans","2021","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya bean oil","2010","t","168319.85"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya bean oil","2011","t","119915.35"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya bean oil","2012","t","-541562.28"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya bean oil","2013","t","-472754.59"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya bean oil","2014","t","149238.27"
